Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2013,Influenza,Bacterial,13.26,9.48,5.63,36-60,Other,776469,88.07,2.49,2.53,Medication,49441,Yes,76.81,1554,4.61,92519,0.71,88.93
UK,2015,Dengue,Bacterial,7.42,10.64,6.19,61+,Other,642560,50.51,4.24,4.56,Therapy,36131,Yes,61.01,4846,4.8,53927,0.52,25.49
UK,2000,Zika,Neurological,10.98,1.33,5.07,36-60,Other,320551,54.32,0.56,5.47,Medication,8589,No,68.98,4360,2.1,98356,0.66,39.71
Russia,2021,Influenza,Parasitic,0.24,0.29,6.53,61+,Female,921260,97.06,3.54,2.32,Therapy,8378,No,97.0,76,5.23,39382,0.56,69.76
Indonesia,2016,Dengue,Parasitic,8.64,10.33,6.66,0-18,Other,356686,86.75,4.46,2.21,Surgery,39721,No,97.14,4139,4.88,70630,0.82,52.7
Russia,2023,Rabies,Infectious,3.32,5.61,9.22,61+,Male,749645,84.09,2.94,3.18,Surgery,41521,Yes,51.52,479,0.64,82928,0.68,21.69
France,2003,Hepatitis,Viral,15.02,5.33,2.28,19-35,Male,135476,81.26,2.04,3.09,Vaccination,19787,No,52.1,2213,0.73,81274,0.84,40.39
China,2014,Tuberculosis,Parasitic,7.88,0.97,9.04,0-18,Other,386848,82.38,0.67,1.86,Therapy,13580,No,65.62,1501,8.78,24578,0.48,30.45
Canada,2007,Cholera,Autoimmune,10.16,10.26,5.2,0-18,Female,979011,87.46,1.88,1.17,Medication,45015,No,68.34,2109,2.15,1258,0.47,29.33
Mexico,2008,COVID-19,Metabolic,7.32,11.43,9.81,0-18,Male,540945,86.8,4.98,6.12,Surgery,5410,Yes,82.4,242,9.83,50840,0.53,86.99
UK,2011,Leprosy,Respiratory,15.32,3.9,5.99,0-18,Male,489434,50.35,4.83,1.44,Medication,30297,Yes,83.7,3849,1.79,23087,0.88,88.84
Germany,2021,HIV/AIDS,Parasitic,1.08,8.36,6.87,61+,Other,555142,85.3,1.9,8.01,Therapy,28326,No,89.12,3401,0.18,51588,0.87,75.51
Canada,2007,Diabetes,Neurological,19.43,12.51,6.25,36-60,Male,170799,85.9,4.92,3.34,Surgery,23036,Yes,76.33,113,2.15,45132,0.79,84.37
Mexico,2022,Zika,Metabolic,16.53,7.0,7.05,36-60,Other,721347,57.58,3.24,6.27,Medication,49314,Yes,60.0,3882,9.17,46320,0.61,59.51
India,2001,Polio,Neurological,18.4,14.58,0.96,36-60,Other,925118,92.31,4.02,3.36,Surgery,32446,No,64.0,1631,7.22,87336,0.81,62.78
Brazil,2024,Polio,Parasitic,1.02,0.24,7.13,0-18,Other,628587,97.59,4.77,5.25,Therapy,19208,No,91.11,488,4.75,9776,0.53,60.05
Japan,2001,Hepatitis,Parasitic,1.98,14.12,4.22,0-18,Male,720213,88.25,3.24,3.98,Vaccination,6000,No,83.72,4904,6.51,66184,0.71,84.01
Saudi Arabia,2006,Parkinson's Disease,Metabolic,0.15,4.42,8.93,0-18,Male,655055,52.47,3.27,2.18,Medication,9233,Yes,52.06,4334,8.72,30810,0.83,34.74
Japan,2022,Alzheimer's Disease,Cardiovascular,17.17,6.87,3.9,19-35,Male,826557,65.22,0.8,4.68,Vaccination,46984,Yes,57.52,4006,6.33,33944,0.85,40.1
South Korea,2019,Leprosy,Autoimmune,3.47,13.25,7.3,19-35,Other,146665,78.53,3.34,0.62,Therapy,15036,No,60.69,783,8.01,88195,0.65,89.33
Brazil,2015,Measles,Chronic,17.43,9.2,8.86,61+,Other,293863,92.93,1.13,7.8,Therapy,26978,Yes,96.1,1667,5.29,56945,0.57,78.18
Turkey,2004,Ebola,Metabolic,5.33,3.43,3.67,0-18,Male,134166,96.31,1.29,2.5,Surgery,2282,No,68.6,4096,5.95,35286,0.57,86.68
Italy,2012,COVID-19,Cardiovascular,19.87,1.63,2.47,19-35,Other,739651,96.43,3.34,4.82,Medication,44551,Yes,84.45,4970,9.57,43455,0.53,43.39
Indonesia,2008,Hepatitis,Neurological,14.88,6.31,0.22,36-60,Other,819053,51.88,3.3,6.92,Medication,4747,Yes,55.32,978,0.14,33382,0.7,42.02
Australia,2003,Ebola,Bacterial,1.96,9.44,4.63,19-35,Female,709402,74.43,2.33,7.4,Vaccination,43102,No,87.56,3132,4.21,81196,0.66,21.82
Australia,2009,Malaria,Metabolic,17.56,7.96,2.58,19-35,Male,162826,93.3,3.81,7.97,Surgery,37812,Yes,85.33,1919,4.57,93722,0.86,40.92
Australia,2009,Measles,Viral,2.18,14.82,1.26,61+,Female,808173,74.3,3.35,3.35,Medication,49310,Yes,73.96,2258,2.8,81125,0.5,74.72
Japan,2014,Measles,Viral,13.87,11.05,3.19,36-60,Other,161634,93.78,2.73,3.58,Therapy,6980,No,64.28,3491,3.32,45059,0.71,32.07
Russia,2008,Ebola,Chronic,5.63,0.76,4.02,0-18,Male,978978,51.89,3.45,6.66,Medication,1559,Yes,88.86,2463,9.84,84750,0.49,28.97
Japan,2007,HIV/AIDS,Autoimmune,11.68,12.42,2.71,61+,Other,532065,83.5,3.94,6.96,Vaccination,24588,No,76.64,114,3.46,93411,0.48,66.21
Mexico,2014,Cancer,Metabolic,16.87,6.57,8.16,19-35,Other,59421,92.85,3.75,3.33,Medication,40432,Yes,59.24,22,7.19,88929,0.75,33.42
Australia,2015,HIV/AIDS,Infectious,3.46,5.98,7.23,19-35,Other,958022,66.13,2.35,2.26,Medication,32105,Yes,64.68,1024,2.99,45906,0.66,22.29
Canada,2006,HIV/AIDS,Chronic,12.6,3.37,7.88,0-18,Female,840372,94.38,0.82,4.76,Medication,47664,Yes,76.01,1165,5.67,5849,0.82,57.49
Brazil,2006,Ebola,Parasitic,7.76,13.43,8.15,36-60,Male,715887,78.58,3.28,8.36,Medication,41164,No,54.34,2847,5.72,22700,0.83,40.65
China,2009,Leprosy,Neurological,18.58,11.13,3.4,61+,Female,543861,86.07,3.04,9.1,Medication,14671,Yes,86.21,4807,8.45,91607,0.67,81.46
Canada,2004,Zika,Chronic,8.5,13.84,4.81,0-18,Female,933501,80.65,2.12,9.21,Therapy,30755,Yes,86.67,4558,3.69,88317,0.82,63.4
Italy,2020,Dengue,Cardiovascular,17.95,2.64,6.13,19-35,Female,264557,98.62,2.65,8.42,Vaccination,8203,No,55.27,1025,1.15,73360,0.67,50.93
Russia,2024,Malaria,Metabolic,0.21,10.34,1.96,0-18,Other,263477,98.49,2.27,2.66,Surgery,14088,No,52.76,1705,3.13,43233,0.61,75.08
Italy,2019,HIV/AIDS,Parasitic,11.64,13.98,8.08,61+,Male,16688,89.16,3.11,6.79,Surgery,21699,No,58.4,3413,0.98,30250,0.51,26.62
South Africa,2021,Cancer,Neurological,16.89,2.28,8.52,19-35,Male,761302,50.41,1.98,2.06,Therapy,38765,Yes,54.03,3597,6.97,49689,0.5,25.4
Germany,2010,COVID-19,Chronic,0.32,5.83,2.61,61+,Male,601459,80.56,3.48,1.61,Surgery,25446,No,55.96,2808,6.06,48806,0.81,42.76
Australia,2023,HIV/AIDS,Infectious,14.77,14.26,7.36,19-35,Male,457592,53.44,4.08,7.45,Surgery,34511,No,67.64,2816,0.41,57776,0.82,77.74
Indonesia,2000,Alzheimer's Disease,Autoimmune,6.46,14.2,6.62,0-18,Other,140944,90.68,2.16,1.07,Vaccination,28745,No,74.59,445,3.68,41555,0.43,54.22
Italy,2000,Malaria,Parasitic,10.62,1.03,0.65,0-18,Male,289468,99.04,0.55,8.24,Vaccination,14646,Yes,75.55,2624,1.36,982,0.56,50.53
Mexico,2012,Leprosy,Respiratory,10.43,6.54,7.51,0-18,Other,660978,52.33,1.16,6.09,Medication,27828,No,95.3,4792,8.89,66525,0.56,30.04
USA,2023,Polio,Infectious,10.51,6.11,4.55,61+,Female,670291,81.84,4.62,2.27,Vaccination,2143,Yes,75.99,2624,3.24,78524,0.42,36.5
Saudi Arabia,2008,Ebola,Genetic,16.31,13.15,9.56,61+,Other,116187,67.35,2.96,8.81,Medication,45146,Yes,82.0,819,6.48,14628,0.52,68.48
Indonesia,2010,Asthma,Autoimmune,7.13,10.64,5.9,36-60,Male,986630,52.67,3.17,5.21,Vaccination,2529,No,57.08,4280,4.77,61877,0.7,58.61
Japan,2001,Cancer,Cardiovascular,4.81,13.17,8.72,61+,Other,987406,62.77,0.91,1.46,Medication,39478,Yes,75.3,564,3.19,75384,0.89,69.3
China,2000,Malaria,Chronic,7.34,2.3,2.86,61+,Female,529219,61.66,2.64,5.28,Vaccination,15446,No,80.88,4251,4.11,53210,0.45,88.8
Nigeria,2022,HIV/AIDS,Neurological,7.91,9.36,7.1,36-60,Male,735231,95.92,4.88,1.47,Therapy,17082,No,59.1,4089,4.05,70375,0.45,28.78
India,2021,Tuberculosis,Metabolic,13.53,2.3,1.07,19-35,Male,12497,76.57,3.1,3.83,Vaccination,17755,Yes,77.05,3425,6.21,7484,0.59,70.28
Nigeria,2022,Polio,Genetic,3.1,6.03,1.57,19-35,Other,485287,63.98,0.92,1.45,Vaccination,8073,Yes,88.13,4676,1.54,38153,0.72,79.87
China,2023,Parkinson's Disease,Metabolic,1.63,11.94,9.35,0-18,Female,820933,70.51,4.92,3.36,Surgery,43703,Yes,60.97,779,6.29,64087,0.76,21.24
France,2008,Dengue,Respiratory,10.72,12.28,7.43,19-35,Male,346244,70.45,4.91,6.46,Therapy,1949,Yes,93.43,533,2.27,35500,0.49,28.31
Argentina,2009,Cancer,Viral,8.94,2.95,5.93,0-18,Male,598804,82.16,3.93,7.02,Therapy,1965,Yes,83.56,1296,2.13,25549,0.44,87.77
Russia,2023,Asthma,Infectious,6.3,3.88,1.58,36-60,Male,986205,65.37,4.26,9.33,Therapy,23401,No,65.09,41,1.0,49883,0.63,79.76
Argentina,2007,Measles,Viral,4.54,2.9,3.63,36-60,Female,151650,72.93,4.79,4.09,Medication,36923,No,62.44,3516,5.26,64209,0.79,71.55
Australia,2018,Measles,Respiratory,19.08,11.96,8.74,0-18,Male,581212,65.54,0.59,3.96,Surgery,26980,Yes,60.68,1482,1.19,27903,0.41,24.4
Nigeria,2010,Ebola,Genetic,9.17,7.35,0.9,36-60,Male,667904,77.26,2.86,9.75,Surgery,33733,No,65.0,4317,7.29,5023,0.81,59.44
China,2017,Alzheimer's Disease,Viral,3.52,5.49,2.83,36-60,Other,568755,86.56,3.54,4.76,Therapy,45985,Yes,96.65,4494,9.87,97358,0.73,70.2
Germany,2013,Hepatitis,Viral,19.02,0.23,7.96,0-18,Male,642247,93.19,4.01,1.26,Medication,41931,No,81.35,2263,6.37,90364,0.76,86.59
Brazil,2016,Cancer,Chronic,15.92,12.8,4.39,0-18,Other,532124,72.16,4.87,9.51,Medication,25310,No,66.56,4789,0.34,34235,0.44,89.97
Argentina,2019,Polio,Chronic,6.78,2.86,1.98,0-18,Other,407762,57.43,2.79,8.17,Medication,16508,No,64.51,2926,8.08,22392,0.8,34.67
UK,2003,Rabies,Bacterial,4.9,1.15,2.93,0-18,Female,318796,61.85,1.56,1.96,Surgery,23629,Yes,79.53,2513,5.31,44005,0.61,72.11
Italy,2010,COVID-19,Cardiovascular,17.22,8.78,9.1,0-18,Female,542026,52.7,4.15,2.42,Surgery,4459,Yes,81.48,137,5.25,32184,0.74,69.79
China,2023,Hepatitis,Cardiovascular,6.98,6.04,4.71,0-18,Other,624879,82.13,2.89,8.16,Vaccination,31902,No,62.5,4578,6.31,19271,0.44,61.01
Russia,2018,Hypertension,Respiratory,0.21,3.51,5.3,36-60,Female,923561,53.62,3.7,5.3,Therapy,19439,No,77.38,2007,6.78,61038,0.5,71.89
Nigeria,2022,Rabies,Autoimmune,16.84,14.01,9.32,19-35,Male,355034,98.87,4.54,5.46,Therapy,40931,Yes,87.21,874,8.64,35206,0.52,26.88
Saudi Arabia,2011,Hepatitis,Chronic,9.42,14.4,5.38,61+,Female,362984,97.59,0.57,4.38,Therapy,39783,Yes,98.41,1709,8.25,57771,0.72,25.61
Argentina,2013,Diabetes,Parasitic,18.99,11.28,1.3,19-35,Female,211440,52.36,4.74,3.08,Surgery,14725,No,81.76,2101,5.57,77834,0.52,31.62
Russia,2024,Influenza,Autoimmune,5.14,2.44,6.54,61+,Other,847872,87.65,3.36,9.65,Vaccination,40348,No,87.0,2814,9.8,86514,0.63,77.53
Nigeria,2003,Leprosy,Respiratory,15.19,8.92,4.49,19-35,Other,85854,86.28,2.5,8.81,Vaccination,30463,Yes,54.34,3117,1.34,46150,0.83,82.65
Turkey,2002,Leprosy,Chronic,12.39,11.03,6.79,36-60,Other,692357,70.56,4.74,6.7,Vaccination,2043,Yes,57.79,2544,3.43,79056,0.67,33.63
Turkey,2022,Hypertension,Parasitic,7.82,0.38,4.99,61+,Other,464661,98.18,3.13,7.7,Surgery,25003,Yes,50.65,963,3.15,42456,0.65,58.32
Indonesia,2015,Ebola,Chronic,16.46,10.26,4.35,61+,Other,356280,62.24,2.0,9.74,Medication,14647,Yes,54.49,363,9.26,3168,0.59,87.74
China,2013,Rabies,Autoimmune,14.81,14.94,6.28,0-18,Male,610333,70.82,0.7,2.18,Vaccination,2766,No,54.34,437,3.15,8419,0.58,84.7
France,2023,Tuberculosis,Infectious,14.06,11.26,1.97,36-60,Male,108764,94.47,4.85,1.73,Medication,15698,No,77.86,1887,0.11,53712,0.72,60.19
Japan,2011,HIV/AIDS,Genetic,0.67,14.63,2.55,36-60,Male,133769,82.3,4.98,1.04,Surgery,35639,No,96.41,1673,5.83,56252,0.82,65.73
Argentina,2002,Parkinson's Disease,Autoimmune,19.28,6.36,2.43,36-60,Female,993635,89.01,0.79,2.3,Medication,37327,Yes,61.31,737,9.62,31315,0.82,72.03
South Korea,2021,Asthma,Infectious,19.93,2.45,7.88,36-60,Other,753333,88.73,2.3,7.87,Surgery,44533,No,56.1,2684,5.33,95781,0.89,82.67
Mexico,2012,Cancer,Cardiovascular,0.35,4.84,1.48,61+,Female,815033,99.05,2.52,7.07,Vaccination,10946,No,71.51,211,0.84,65584,0.79,46.28
Turkey,2013,Diabetes,Autoimmune,1.09,10.39,8.03,19-35,Female,805859,52.41,1.11,8.81,Vaccination,35711,No,89.4,493,3.1,55824,0.42,31.91
South Korea,2019,Dengue,Parasitic,18.07,2.72,6.92,61+,Female,75697,84.79,4.94,1.81,Surgery,40484,Yes,75.33,2965,9.96,37158,0.71,60.78
UK,2014,Alzheimer's Disease,Respiratory,10.09,10.16,3.89,19-35,Female,950038,76.79,3.16,4.52,Vaccination,46657,Yes,70.64,4929,1.93,93646,0.51,27.79
Canada,2012,Zika,Bacterial,13.0,6.86,0.42,36-60,Male,849445,71.39,2.77,6.41,Vaccination,46534,No,69.96,3717,3.41,53717,0.54,79.52
Argentina,2009,COVID-19,Metabolic,6.43,14.05,4.35,36-60,Male,87285,85.52,1.31,2.04,Vaccination,32483,No,56.85,1919,1.6,48389,0.81,37.43
Saudi Arabia,2013,Diabetes,Autoimmune,3.76,9.94,7.64,36-60,Other,66516,69.04,0.86,6.82,Vaccination,32086,No,88.82,1537,8.59,34810,0.7,23.06
Nigeria,2011,Parkinson's Disease,Metabolic,4.77,9.76,4.34,61+,Male,615899,68.29,2.75,5.96,Surgery,15797,No,73.9,1445,5.41,8427,0.74,80.46
Saudi Arabia,2015,Parkinson's Disease,Neurological,14.99,8.18,4.48,0-18,Male,109045,85.74,2.89,5.31,Medication,41696,Yes,80.93,2969,1.42,46209,0.54,36.1
Brazil,2019,Influenza,Autoimmune,1.71,2.55,8.21,36-60,Other,556011,99.56,0.54,5.44,Therapy,44782,No,79.39,997,1.51,83358,0.87,41.08
Turkey,2000,Zika,Respiratory,7.3,6.43,9.1,0-18,Female,240456,67.46,4.38,5.07,Medication,2034,No,52.45,2077,8.39,40381,0.55,87.62
Argentina,2013,Rabies,Viral,9.67,6.03,3.6,36-60,Male,946379,73.01,4.72,7.78,Therapy,42808,No,66.46,1347,7.69,22362,0.52,39.14
Nigeria,2022,Hypertension,Chronic,10.7,13.52,3.81,36-60,Male,69807,53.61,0.98,2.52,Vaccination,35859,Yes,98.62,4911,6.44,13847,0.47,33.1
Italy,2015,Cancer,Autoimmune,8.77,13.51,5.49,0-18,Female,800148,73.45,3.5,2.27,Medication,18050,Yes,96.96,4717,8.53,26273,0.75,52.69
South Africa,2004,Asthma,Infectious,12.02,4.28,3.14,19-35,Male,160347,63.27,2.89,2.43,Medication,45908,No,95.67,922,5.32,81241,0.79,65.23
Japan,2010,Dengue,Parasitic,0.79,10.18,1.0,36-60,Male,807440,62.47,1.7,8.49,Vaccination,26771,No,73.06,1523,1.55,32712,0.73,67.04
South Korea,2000,Cholera,Respiratory,13.58,13.78,9.74,61+,Other,170019,55.78,2.22,4.42,Surgery,45089,Yes,62.79,4102,1.15,12682,0.86,70.44
Indonesia,2016,Hypertension,Chronic,19.56,12.95,4.41,19-35,Female,202881,75.25,2.87,3.29,Surgery,41751,No,66.66,1188,4.47,61208,0.88,35.79
Brazil,2022,Cancer,Neurological,19.51,4.68,6.78,0-18,Male,277386,95.14,1.57,1.3,Medication,9921,No,69.46,3078,7.88,21863,0.69,89.42
Canada,2009,Ebola,Parasitic,2.55,6.08,7.14,19-35,Other,6835,61.58,4.47,5.32,Medication,44808,No,51.23,1267,9.97,33833,0.89,35.16
Japan,2016,Rabies,Metabolic,0.35,5.73,6.89,0-18,Other,757237,90.81,1.39,7.55,Vaccination,4338,No,56.95,3700,1.11,17309,0.73,58.2
South Korea,2002,Hypertension,Bacterial,7.84,5.73,7.7,19-35,Female,530707,84.97,1.72,1.23,Vaccination,13363,Yes,86.71,408,4.07,38710,0.75,77.85
Russia,2009,Cholera,Bacterial,6.84,8.19,4.73,36-60,Female,546672,82.22,0.53,6.1,Therapy,25220,No,57.63,2607,5.74,84253,0.61,70.8
Nigeria,2006,Dengue,Viral,2.49,2.65,0.64,19-35,Female,664120,58.71,1.74,2.4,Surgery,3754,No,72.0,412,8.03,67620,0.5,51.75
Japan,2018,Parkinson's Disease,Bacterial,7.68,14.19,4.9,0-18,Other,216202,58.11,2.35,3.14,Vaccination,14783,Yes,66.2,2494,1.77,24227,0.48,40.48
Germany,2024,COVID-19,Chronic,11.57,4.37,3.56,0-18,Other,628890,81.68,3.73,0.87,Vaccination,40335,Yes,56.25,2096,3.94,35316,0.86,42.4
Russia,2004,Influenza,Neurological,14.37,11.13,4.69,19-35,Other,998956,65.47,4.18,7.48,Medication,7421,Yes,79.42,4150,2.08,38735,0.74,21.93
Argentina,2023,Zika,Metabolic,15.4,5.7,3.92,36-60,Female,102457,80.43,2.42,8.41,Vaccination,33421,No,71.49,1560,7.06,88768,0.43,60.73
Turkey,2022,Cancer,Bacterial,8.03,14.96,7.94,0-18,Other,964998,60.11,3.29,5.03,Vaccination,7988,Yes,72.57,182,8.91,66831,0.82,51.18
UK,2016,Cancer,Bacterial,12.05,7.3,2.3,36-60,Male,186073,84.87,3.77,5.49,Vaccination,21499,Yes,76.48,220,8.58,86535,0.73,73.85
Brazil,2020,Influenza,Parasitic,18.96,4.01,2.24,19-35,Male,371662,53.04,3.14,7.51,Surgery,22872,Yes,77.2,4899,4.11,50310,0.88,35.67
India,2011,Leprosy,Chronic,3.02,9.29,9.63,19-35,Female,350565,58.18,3.3,5.26,Medication,16218,No,93.94,1449,8.71,19291,0.71,29.16
Saudi Arabia,2023,Alzheimer's Disease,Chronic,5.29,6.05,2.15,61+,Male,445987,77.18,2.92,7.49,Surgery,15481,No,98.22,4145,7.33,73237,0.52,29.03
Germany,2010,Leprosy,Genetic,13.34,0.63,2.04,0-18,Female,840202,89.2,4.95,6.23,Vaccination,20644,Yes,69.8,1449,4.56,42784,0.78,75.58
China,2006,Cancer,Metabolic,11.86,13.17,9.65,36-60,Female,996846,51.81,2.83,1.68,Vaccination,37211,No,97.44,2060,8.66,30653,0.72,70.49
Turkey,2004,Dengue,Genetic,10.78,10.07,3.49,19-35,Male,117012,73.04,0.62,4.24,Medication,23066,No,94.31,3949,6.7,32631,0.47,79.18
Argentina,2010,Polio,Autoimmune,19.66,10.35,1.26,61+,Other,265129,96.06,1.86,1.23,Therapy,4194,No,80.04,4589,4.43,81093,0.42,86.06
Canada,2007,Alzheimer's Disease,Bacterial,15.92,5.09,1.37,0-18,Female,680804,75.42,3.49,5.11,Vaccination,16801,No,86.18,23,6.68,36111,0.45,86.78
China,2016,Zika,Autoimmune,3.54,8.01,2.54,0-18,Female,57972,51.74,1.27,9.29,Vaccination,29029,Yes,98.24,2023,4.33,81521,0.54,34.75
South Africa,2007,Alzheimer's Disease,Parasitic,5.93,14.35,4.63,19-35,Male,209096,54.72,3.25,3.39,Surgery,7188,No,89.57,590,2.95,61578,0.45,80.99
Japan,2003,Rabies,Neurological,17.76,4.28,3.01,19-35,Female,155557,76.04,3.56,8.28,Vaccination,26519,Yes,97.47,3100,6.6,28064,0.72,58.18
Mexico,2022,Rabies,Bacterial,12.39,13.49,7.72,61+,Female,314577,63.32,1.11,1.09,Surgery,9664,No,80.68,3795,5.92,62311,0.64,26.55
China,2013,Cancer,Respiratory,10.8,6.93,4.05,0-18,Female,905199,86.08,4.19,6.13,Medication,14228,Yes,72.67,3463,3.5,87457,0.78,37.28
Argentina,2009,COVID-19,Bacterial,15.12,10.72,5.99,19-35,Other,85551,63.16,2.49,6.11,Medication,4496,Yes,93.25,3907,9.17,86385,0.48,39.18
Turkey,2002,Ebola,Viral,1.58,4.33,3.44,36-60,Male,799154,61.48,1.51,3.07,Medication,24263,No,56.3,3914,7.84,8066,0.46,24.81
Russia,2022,Hepatitis,Chronic,6.9,0.92,7.05,36-60,Male,721846,65.48,0.53,7.01,Vaccination,25241,No,92.24,15,9.31,29074,0.48,22.36
France,2003,HIV/AIDS,Parasitic,5.73,11.19,5.86,36-60,Other,968168,51.57,4.15,5.88,Medication,25584,Yes,63.76,3600,8.36,78734,0.61,51.98
Mexico,2017,Hypertension,Neurological,12.8,0.96,8.07,36-60,Female,822326,94.02,2.91,0.9,Vaccination,35440,Yes,86.1,4537,1.79,73125,0.85,83.16
Indonesia,2021,Hepatitis,Respiratory,10.44,7.95,6.82,0-18,Female,285432,51.1,2.3,7.12,Surgery,19662,No,71.94,3905,6.02,72468,0.54,23.08
France,2017,Zika,Respiratory,17.25,9.27,9.08,0-18,Male,469085,87.52,1.17,6.97,Surgery,37550,Yes,60.45,2202,6.35,12836,0.61,49.2
China,2006,Ebola,Respiratory,9.98,9.82,7.35,36-60,Male,274807,92.86,1.78,6.66,Surgery,9439,No,98.7,3133,8.21,26343,0.74,41.17
South Africa,2003,Ebola,Bacterial,8.8,9.41,6.35,36-60,Female,273923,94.43,1.07,9.31,Vaccination,24079,No,56.81,2126,4.41,41826,0.67,47.74
Saudi Arabia,2012,Diabetes,Chronic,10.31,10.69,8.31,0-18,Female,606557,83.79,4.59,2.46,Surgery,44372,No,79.3,742,1.45,25781,0.62,44.29
Argentina,2009,Measles,Metabolic,15.0,5.97,3.27,61+,Male,540890,92.09,1.15,0.54,Therapy,13764,No,86.22,4382,8.27,93329,0.76,74.95
India,2005,Alzheimer's Disease,Cardiovascular,19.09,3.42,3.19,0-18,Other,373022,69.81,1.53,2.84,Therapy,11365,Yes,96.1,2662,3.16,44813,0.88,40.13
Brazil,2008,Measles,Autoimmune,15.79,12.96,0.97,61+,Male,736559,79.2,2.71,9.34,Medication,28459,No,89.24,3049,1.87,84762,0.61,84.96
Brazil,2007,Hypertension,Genetic,12.54,10.02,7.12,19-35,Female,914033,68.38,2.98,2.99,Vaccination,49327,No,92.2,2525,1.92,57374,0.69,53.87
Japan,2005,Alzheimer's Disease,Parasitic,1.29,10.07,7.14,0-18,Male,862148,55.0,4.92,5.52,Medication,37905,Yes,92.79,1953,9.93,98031,0.82,41.25
Japan,2008,Polio,Chronic,8.2,8.64,1.36,36-60,Male,318782,89.16,4.33,4.79,Therapy,6463,No,95.29,3865,5.35,9440,0.68,44.2
South Africa,2012,Hypertension,Autoimmune,8.02,5.9,8.11,61+,Other,850203,92.27,1.73,7.65,Medication,33238,No,67.03,2846,0.97,1001,0.82,63.64
Mexico,2001,Asthma,Chronic,13.35,11.26,3.42,19-35,Male,764642,80.88,2.4,2.57,Vaccination,14751,Yes,65.89,77,4.45,71679,0.43,52.08
Turkey,2022,Cholera,Autoimmune,16.83,6.54,0.71,0-18,Other,456036,56.29,4.5,1.75,Therapy,9638,No,55.43,3859,0.94,51064,0.46,88.41
USA,2012,Hypertension,Autoimmune,19.51,13.48,0.3,0-18,Male,989605,62.19,3.91,1.23,Surgery,39835,Yes,53.18,1608,2.2,78103,0.71,33.5
Canada,2019,Ebola,Autoimmune,14.17,11.46,9.07,61+,Other,315416,66.15,3.22,0.51,Therapy,26610,No,82.84,1139,5.5,71741,0.82,22.66
Saudi Arabia,2009,Influenza,Genetic,13.82,10.78,1.48,0-18,Female,388551,65.7,2.96,3.62,Surgery,30656,No,70.97,385,9.12,35298,0.84,62.61
Nigeria,2004,Rabies,Respiratory,13.16,6.01,7.77,61+,Male,383271,93.48,2.66,3.08,Medication,6338,No,76.15,4708,7.05,7961,0.47,49.38
Germany,2012,Tuberculosis,Respiratory,18.95,0.85,8.63,19-35,Male,67587,99.31,1.31,5.62,Therapy,48964,No,73.41,603,3.05,3401,0.71,52.18
Germany,2023,Ebola,Viral,18.96,2.14,5.32,36-60,Male,54112,86.02,2.24,3.4,Surgery,2789,No,59.77,2344,9.86,39128,0.47,23.33
South Korea,2024,HIV/AIDS,Bacterial,3.76,4.83,6.77,61+,Other,264597,54.94,2.48,5.97,Surgery,10321,No,62.38,777,1.89,84576,0.58,41.59
Saudi Arabia,2013,Dengue,Chronic,12.88,9.5,2.31,61+,Male,753361,77.85,4.06,5.45,Vaccination,15757,No,96.55,63,6.86,57696,0.56,89.14
USA,2001,Parkinson's Disease,Bacterial,9.66,14.45,0.3,61+,Male,773372,53.06,1.89,6.71,Therapy,27665,Yes,75.4,1491,5.0,69059,0.47,21.78
Turkey,2014,Malaria,Viral,13.18,7.62,0.96,36-60,Male,833310,95.12,1.35,9.03,Medication,14753,No,52.27,4776,3.7,87840,0.73,77.78
Australia,2013,HIV/AIDS,Neurological,3.69,1.08,3.15,36-60,Other,738159,60.16,1.07,0.81,Therapy,35815,No,51.47,2426,2.55,8540,0.88,77.39
Argentina,2017,Diabetes,Genetic,3.93,11.53,2.11,36-60,Other,647905,92.16,1.36,3.15,Medication,10259,No,69.0,911,0.31,4247,0.6,49.9
Turkey,2000,Parkinson's Disease,Viral,7.81,5.69,5.99,61+,Male,783403,61.09,3.51,5.01,Vaccination,22539,Yes,57.11,3624,0.42,64066,0.86,70.48
Saudi Arabia,2009,Malaria,Infectious,4.56,7.43,7.02,0-18,Female,285520,84.81,2.95,7.21,Vaccination,24082,Yes,98.2,704,4.91,41546,0.77,22.81
Nigeria,2000,Dengue,Viral,8.71,10.0,1.03,61+,Other,141552,95.7,4.3,8.82,Surgery,21452,No,93.43,4736,0.27,39389,0.73,82.47
Russia,2010,Hypertension,Cardiovascular,10.81,5.51,0.59,36-60,Male,970402,97.06,1.16,1.71,Medication,36383,Yes,54.71,167,6.08,17206,0.47,45.37
Turkey,2011,Hepatitis,Neurological,8.75,4.13,1.79,0-18,Male,145824,95.29,2.7,8.0,Therapy,30365,No,59.23,1233,3.34,74656,0.81,31.96
Argentina,2008,Leprosy,Viral,19.09,8.74,9.44,61+,Male,458677,86.25,3.17,3.29,Surgery,48877,No,52.82,4444,4.49,91298,0.61,52.81
